Datum,Fall
2020-02-04,1
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,8
2020-02-29,3
2020-03-01,0
2020-03-02,5
2020-03-03,13
2020-03-04,30
2020-03-05,25
2020-03-06,59
2020-03-07,33
2020-03-08,46
2020-03-09,101
2020-03-10,98
2020-03-11,196
2020-03-12,151
2020-03-13,152
2020-03-14,71
2020-03-15,69
2020-03-16,83
2020-03-17,119
2020-03-18,145
2020-03-19,143
2020-03-20,180
2020-03-21,134
2020-03-22,117
2020-03-23,182
2020-03-24,230
2020-03-25,314
2020-03-26,286
2020-03-27,366
2020-03-28,300
2020-03-29,281
2020-03-30,415
2020-03-31,475
2020-04-01,486
2020-04-02,554
2020-04-03,601
2020-04-04,357
2020-04-05,340
2020-04-06,389
2020-04-07,738
2020-04-08,655
2020-04-09,645
2020-04-10,454
2020-04-11,395
2020-04-12,464
2020-04-13,437
2020-04-14,479
2020-04-15,604
2020-04-16,623
2020-04-17,688
2020-04-18,532
2020-04-19,389
2020-04-20,462
2020-04-21,709
2020-04-22,721
2020-04-23,748
2020-04-24,770
2020-04-25,474
2020-04-26,299
2020-04-27,543
2020-04-28,744
2020-04-29,169
