T,ComputingTime
50,0.007999420166015625
70,0.017992019653320312
90,0.03399085998535156
110,0.05298042297363281
130,0.07197761535644531
150,0.11596298217773438
170,0.1479473114013672
190,0.2509193420410156
210,0.3858776092529297
230,0.3683891296386719
250,0.44885826110839844
270,0.5488243103027344
290,0.5978469848632812
310,0.7307682037353516
330,0.7947483062744141
350,1.2431182861328125
370,1.0476665496826172
390,1.924386978149414
410,2.2192420959472656
430,2.360830307006836
450,3.587373733520508
470,2.9740524291992188
490,2.7291316986083984
510,2.6591567993164062
530,2.925069808959961
550,3.603851318359375
570,4.473577499389648
590,4.649518966674805
610,4.941429138183594
630,5.022912979125977
650,5.113395690917969
670,4.134685516357422
690,3.843778610229492
