InvestmentCost,ProductionRevenue,Locations
0.0,-0.0,_______
43.7979797979798,528.880194852893,__L____
79.38383838383838,663.8753715985051,___S_L_
82.12121212121212,1043.4671615978214,___L_L_
87.5959595959596,1057.760389705786,L_____L
117.70707070707071,1489.6908340484986,___LLL_
123.18181818181819,1572.3473564507144,L__L_L_
153.2929292929293,1582.704544369246,___LLLS
156.03030303030303,1900.91175112052,___LLLL
161.5050505050505,2061.3316542994335,LL_L_L_
197.0909090909091,2507.555326750111,LL_L_LL
235.41414141414143,2946.505460887547,LLLL_LL
271.0,3357.7263779595687,LLLLLLL
